code_commune;commune_name;total_logements;residences_principales;residences_secondaires;taux_rsecocc_pct;classe_rsecocc
47052;Casteljaloux;3170.27395255769;2463.5311516139;284.871713611189;8.985712839780371;Faible (5-10%)
47053;Castella;187.071263351366;156.684720886098;17.0164637805498;9.096246786225354;Faible (5-10%)
47054;Castelmoron-Sur-Lot;948.585339770593;775.586199687077;53.6516320512171;5.655962600496469;Faible (5-10%)
47055;Castelnaud-De-Gratecambe;360.233284832427;249.480693188982;71.7254879214692;19.910844150571595;Moyen (10-20%)
47056;Castelnau-Sur-Gupie;448.082177326518;396.78386398059;16.7504696639768;3.738258406955275;Très faible (0-5%)
47057;Castillonnès;887.755560775312;632.386586165289;91.2032052178653;10.273459187145384;Moyen (10-20%)
47058;Caubeyres;133.0;99.0;12.0;9.022556390977442;Faible (5-10%)
47059;Caubon-Saint-Sauveur;134.526619437666;115.678782287539;7.5391348600509;5.604195579703999;Faible (5-10%)
47060;Caudecoste;593.786687384028;497.45161502713;15.7068052755813;2.6451932334116166;Très faible (0-5%)
47061;Caumont-Sur-Garonne;352.551794612543;311.940453477449;8.12226822701874;2.303851051430662;Très faible (0-5%)
47062;Cauzac;232.715992320284;185.924576326154;35.60216434336;15.298546519467903;Moyen (10-20%)
47063;Cavarc;110.174371115715;74.4129032258066;24.4683727667794;22.208770078733213;Élevé (20-40%)
47064;Cazideroque;148.919597175612;106.328047879838;26.3661971830985;17.704988250811887;Moyen (10-20%)
47065;Clairac;1457.23297297887;1174.46551882502;124.215703074725;8.524079908842836;Faible (5-10%)
47066;Clermont-Dessous;438.0;345.0;47.0;10.730593607305936;Moyen (10-20%)
47067;Clermont-Soubiran;203.989928087158;163.181847279078;24.4848484848482;12.00296932032186;Moyen (10-20%)
47068;Cocumont;621.542332306561;520.906292236338;47.2868140088998;7.607979626008274;Faible (5-10%)
47069;Colayrac-Saint-Cirq;1480.88870085741;1331.60531877113;23.3572638638401;1.5772464095591137;Très faible (0-5%)
47070;Condezaygues;454.0;393.0;29.0;6.387665198237885;Faible (5-10%)
47071;Coulx;144.006502304008;103.161431881473;20.4225352112676;14.181675746942435;Moyen (10-20%)
47072;Courbiac;100.917808302628;50.9178083026279;46.7391304347826;46.31405618186168;Très élevé (40%+)
47073;Cours;116.0;81.0;19.0;16.379310344827587;Moyen (10-20%)
47074;Couthures-Sur-Garonne;202.737252538436;177.618769126113;12.0568720379147;5.947043223163387;Faible (5-10%)
47075;La Croix-Blanche;486.705935836069;436.600545469812;13.2932668318642;2.731272798025131;Très faible (0-5%)
47076;Cuq;143.926575786678;127.818467678569;10.0675675675676;6.994933015351752;Faible (5-10%)
47077;Cuzorn;511.939473365692;408.931968959917;57.5630171679328;11.244106024778834;Moyen (10-20%)
47078;Damazan;804.773136226246;649.026599506714;38.2200090109282;4.74916560835393;Très faible (0-5%)
47079;Dausse;272.087254511405;217.706133201556;23.1623294467875;8.512831476939546;Faible (5-10%)
47080;Dévillac;112.0;78.0;22.0;19.642857142857142;Moyen (10-20%)
47081;Dolmayrac;355.646047887773;313.077753501461;26.3518012867642;7.409558307556316;Faible (5-10%)
47082;Dondas;145.500216379355;99.3594756386139;32.6361336946702;22.43029907912971;Élevé (20-40%)
