commune_code;commune_name;exprimes_nb;vote_C;vote_D;vote_ED;vote_G;resultat_election_2022
01372;Saint-Martin-de-Bavel;278;109.0;16.0;79.0;74.0;Centre
01373;Saint-Martin-du-Frêne;586;205.0;58.0;239.0;84.0;Extrême-Droite
01374;Saint-Martin-du-Mont;1184;413.0;107.0;432.0;232.0;Extrême-Droite
01375;Saint-Martin-le-Châtel;525;196.0;45.0;204.0;80.0;Extrême-Droite
01376;Saint-Maurice-de-Beynost;1829;620.0;98.0;549.0;562.0;Centre
01378;Saint-Maurice-de-Gourdans;1753;594.0;104.0;790.0;265.0;Extrême-Droite
01379;Saint-Maurice-de-Rémens;406;103.0;28.0;198.0;77.0;Extrême-Droite
01380;Saint-Nizier-le-Bouchoux;399;143.0;31.0;164.0;61.0;Extrême-Droite
01381;Saint-Nizier-le-Désert;503;164.0;49.0;225.0;65.0;Extrême-Droite
01382;Sainte-Olive;206;76.0;14.0;88.0;28.0;Extrême-Droite
01383;Saint-Paul-de-Varax;869;271.0;58.0;394.0;146.0;Extrême-Droite
01384;Saint-Rambert-en-Bugey;897;233.0;46.0;368.0;250.0;Extrême-Droite
01385;Saint-Rémy;627;272.0;54.0;211.0;90.0;Centre
01386;Saint-Sorlin-en-Bugey;726;279.0;60.0;232.0;155.0;Centre
01387;Saint-Sulpice;142;43.0;21.0;49.0;29.0;Extrême-Droite
01388;Saint-Trivier-de-Courtes;530;173.0;59.0;224.0;74.0;Extrême-Droite
01389;Saint-Trivier-sur-Moignans;1035;332.0;66.0;486.0;151.0;Extrême-Droite
01390;Saint-Vulbas;690;179.0;42.0;377.0;92.0;Extrême-Droite
01391;Salavre;207;66.0;20.0;80.0;41.0;Extrême-Droite
01392;Samognat;390;134.0;39.0;153.0;64.0;Extrême-Droite
01393;Sandrans;378;130.0;33.0;163.0;52.0;Extrême-Droite
01396;Sault-Brénaz;434;127.0;31.0;177.0;99.0;Extrême-Droite
01397;Sauverny;452;214.0;41.0;110.0;87.0;Centre
01398;Savigneux;817;296.0;81.0;339.0;101.0;Extrême-Droite
01399;Ségny;853;396.0;81.0;207.0;169.0;Centre
01400;Seillonnaz;108;30.0;18.0;33.0;27.0;Extrême-Droite
01401;Sergy;812;400.0;71.0;171.0;170.0;Centre
01402;Sermoyer;388;115.0;31.0;165.0;77.0;Extrême-Droite
01403;Serrières-de-Briord;737;184.0;56.0;285.0;212.0;Extrême-Droite
01404;Serrières-sur-Ain;101;30.0;5.0;37.0;29.0;Extrême-Droite
01405;Servas;667;217.0;53.0;279.0;118.0;Extrême-Droite
01406;Servignat;111;38.0;8.0;46.0;19.0;Extrême-Droite
01407;Seyssel;510;171.0;36.0;166.0;137.0;Centre
01408;Simandre-sur-Suran;414;126.0;31.0;143.0;114.0;Extrême-Droite
01410;Sonthonnax-la-Montagne;199;62.0;9.0;74.0;54.0;Extrême-Droite
01411;Souclin;166;51.0;17.0;78.0;20.0;Extrême-Droite
01412;Sulignat;342;141.0;22.0;136.0;43.0;Centre
01415;Talissieu;236;66.0;18.0;104.0;48.0;Extrême-Droite
01416;Tenay;429;112.0;25.0;190.0;102.0;Extrême-Droite
01418;Thil;724;297.0;48.0;229.0;150.0;Centre
01419;Thoiry;2482;1173.0;209.0;581.0;519.0;Centre
01420;Thoissey;728;217.0;55.0;317.0;139.0;Extrême-Droite
01421;Torcieu;431;112.0;26.0;197.0;96.0;Extrême-Droite
01422;Tossiat;876;332.0;69.0;304.0;171.0;Centre
01423;Toussieux;690;264.0;51.0;247.0;128.0;Centre
01424;Tramoyes;1193;511.0;84.0;409.0;189.0;Centre
01425;La Tranclière;196;69.0;15.0;79.0;33.0;Extrême-Droite
01426;Val-Revermont;1489;558.0;109.0;502.0;320.0;Centre
01427;Trévoux;3198;1182.0;234.0;873.0;909.0;Centre
01428;Valeins;85;37.0;8.0;36.0;4.0;Centre
01429;Vandeins;400;113.0;35.0;191.0;61.0;Extrême-Droite
01430;Varambon;346;100.0;30.0;146.0;70.0;Extrême-Droite
01431;Vaux-en-Bugey;750;218.0;67.0;247.0;218.0;Extrême-Droite
01432;Verjon;222;82.0;20.0;70.0;50.0;Centre
01433;Vernoux;151;29.0;10.0;80.0;32.0;Extrême-Droite
01434;Versailleux;286;105.0;36.0;110.0;35.0;Extrême-Droite
01435;Versonnex;867;372.0;66.0;223.0;206.0;Centre
01436;Vesancy;260;139.0;25.0;49.0;47.0;Centre
01437;Vescours;120;31.0;22.0;53.0;14.0;Extrême-Droite
