Code_geo;commune_name;resultat_election_2017;exprimes_nb_2017;G_2017;C_2017;D_2017;ED_2017;resultat_election_2022;exprimes_nb_2022;G_2022;C_2022;D_2022;ED_2022;residence_secondaire;pop_age_0_14_today;pop_age_15_64_today;pop_age_65plus_today;diploma_bac_today;diploma_sup_today;revenus_median_today;criminalite_today;criminalite_old1;criminalite_old2;surface_agri_today;surface_agri_old1;chomage_rate_today;chomage_rate_old1;chomage_rate_old2
38257;Montrevel;ED;290;56.0;45.0;70.0;119.0;ED;280.0;50.0;71.0;29.0;130.0;3.8990814021984863;80.6691926917474;297.9285861714016;68.402221136851;44.655775339456326;23.527209043586783;23280.0;77275.0;61456.0;67029.0;247.03;196.62;30.0;30.0;30.0
38258;Mont-Saint-Martin;G;81;39.0;20.0;16.0;6.0;G;78.0;29.0;28.0;7.0;14.0;4.081632653061225;14.0;45.0;34.0;72.36842105263158;64.47368421052632;23230.0;77275.0;61456.0;67029.0;60.77;37.66;0.0;0.0;0.0
38259;Montseveroux;ED;587;152.0;141.0;115.0;179.0;ED;565.0;128.0;181.0;28.0;228.0;5.557009931580763;185.278352416467;610.796581454852;201.925066128681;50.58638473143541;30.195299146654587;25480.0;77275.0;61456.0;67029.0;793.18;1063.41;55.0;60.0;55.0
38260;Moras;D;351;76.0;68.0;106.0;101.0;C;375.0;65.0;142.0;27.0;141.0;5.988599118061324;95.452909463567;312.281873836548;115.265216699886;56.94543930370863;36.23986107010991;29160.0;77275.0;61456.0;67029.0;429.09;227.06;10.0;15.0;10.0
38261;Morestel;ED;2057;442.0;407.0;581.0;627.0;ED;2183.0;473.0;707.0;160.0;843.0;1.3090229079008884;740.0;2536.0;1140.0;42.92929292929293;23.410576351752823;22180.0;77275.0;61456.0;67029.0;341.59;323.78;320.0;375.0;315.0
38263;Morette;G;248;69.0;55.0;59.0;65.0;C;251.0;61.0;95.0;17.0;78.0;5.40859816062493;62.4237270667955;211.1536593962768;86.4226135369267;57.0386021039996;38.943372746602655;27120.0;77275.0;61456.0;67029.0;304.8;282.51;15.0;25.0;20.0
38264;La Morte;G;119;33.0;32.0;29.0;25.0;C;140.0;43.0;51.0;8.0;38.0;87.71315522513677;19.4191176470588;76.654411764706;42.9264705882352;50.87719298245602;31.57894736842099;23230.0;77275.0;61456.0;67029.0;39.92;530.4300000000001;10.0;10.0;10.0
38265;La Motte-d'Aveillans;G;1026;335.0;195.0;202.0;294.0;ED;979.0;256.0;288.0;32.0;403.0;11.752786220871329;291.0;1029.0;407.0;48.338368580060425;27.0392749244713;22980.0;77275.0;61456.0;67029.0;273.18;239.2;105.0;140.0;115.0
38266;La Motte-Saint-Martin;G;278;92.0;76.0;51.0;59.0;G;295.0;113.0;81.0;12.0;89.0;25.352112676056336;95.0;273.0;86.0;52.94117647058824;34.11764705882353;23680.0;77275.0;61456.0;67029.0;18.21;25.16;25.0;25.0;20.0
38267;Mottier;ED;425;89.0;73.0;124.0;139.0;ED;457.0;80.0;161.0;37.0;179.0;3.737011106840466;184.853572520987;522.3823509886971;135.764076490318;44.30024022699914;26.710138426337306;23070.0;77275.0;61456.0;67029.0;575.4;653.59;50.0;50.0;40.0
38268;Le Moutaret;G;167;60.0;32.0;39.0;36.0;C;178.0;55.0;68.0;10.0;45.0;10.44776119402985;38.0;165.0;51.0;65.12820512820512;45.12820512820513;27920.0;77275.0;61456.0;67029.0;106.44;126.21;20.0;20.0;20.0
38269;La Mure;G;2370;668.0;430.0;641.0;631.0;ED;2359.0;672.0;684.0;143.0;860.0;5.234576931860334;766.854597151686;2700.171732333589;1472.9736705147252;40.79512067310894;22.360527422637187;21210.0;77275.0;61456.0;67029.0;336.15;485.68;295.0;375.0;340.0
38270;La Murette;C;1208;280.0;365.0;352.0;211.0;C;1219.0;267.0;565.0;94.0;293.0;1.2995421604195183;308.221758813578;1115.3823344781122;414.39590670831;63.24333699468896;47.057291501625606;27910.0;77275.0;61456.0;67029.0;161.0;235.87;115.0;100.0;105.0
38271;Murianette;D;546;119.0;125.0;157.0;145.0;C;548.0;128.0;196.0;39.0;185.0;1.110504075216782;136.138056385276;573.8752388695899;155.986704745134;58.5248385786215;41.02585639596949;28880.0;77275.0;61456.0;67029.0;394.97;324.42;50.0;40.0;50.0
38272;Murinais;G;250;70.0;55.0;57.0;68.0;ED;243.0;60.0;81.0;15.0;87.0;4.2105263157894735;85.0;245.0;78.0;51.006711409395976;31.20805369127517;22620.0;77275.0;61456.0;67029.0;341.74;476.62;25.0;30.0;25.0
38273;Nantes-en-Ratier;G;351;122.0;93.0;87.0;49.0;C;359.0;116.0;138.0;18.0;87.0;21.371617051119287;74.6554807652838;267.0572402074972;126.287279027219;66.77057493863511;44.05346821982766;25700.0;77275.0;61456.0;67029.0;809.71;986.19;20.0;20.0;20.0
38274;Nantoin;D;304;66.0;62.0;91.0;85.0;C;410.0;94.5;140.0;33.0;137.5;9.822065619032964;118.408303509736;402.151386312403;136.542518369493;48.89791489274277;29.0;23230.0;77275.0;61456.0;67029.0;517.9;530.4300000000001;40.0;40.0;40.0
38275;Serre-Nerpol;ED;164;41.0;27.0;46.0;50.0;ED;162.0;28.0;57.0;17.0;60.0;12.689105347128354;52.6957313398137;197.43362039816915;64.8706482620172;43.363995225861;20.0716946714608;22310.0;77275.0;61456.0;67029.0;1062.46;797.39;20.0;20.0;15.0
38276;Nivolas-Vermelle;D;1385;315.0;334.0;370.0;366.0;C;1447.0;319.0;533.0;114.0;481.0;2.06777512605135;532.711873664288;1671.0597636501443;512.228362685568;50.160867299314994;31.96259880002325;23800.0;77275.0;61456.0;67029.0;150.72;182.77;185.0;185.0;185.0
38277;Notre-Dame-de-Commiers;ED;323;100.0;69.0;52.0;102.0;ED;339.0;82.0;115.0;17.0;125.0;3.0939780682248657;119.821135767447;331.61079237990816;75.5680718526438;61.70300284889317;37.93104813251378;26970.0;77275.0;61456.0;67029.0;197.65;182.41;30.0;30.0;20.0
38278;Notre-Dame-de-l'Osier;G;318;107.0;64.0;66.0;81.0;ED;313.0;69.0;99.0;24.0;121.0;9.259094900261204;92.550766530372;272.347204930947;158.102028538681;51.6365894820902;32.58251324815941;24880.0;77275.0;61456.0;67029.0;346.9;255.74;30.0;30.0;30.0
38279;Notre-Dame-de-Mésage;G;764;230.0;194.0;160.0;180.0;C;742.0;210.0;256.0;40.0;236.0;1.4491093650601168;163.822360467086;645.884884646501;307.292754886413;58.91751312654888;38.39540038199753;26290.0;77275.0;61456.0;67029.0;517.9;530.4300000000001;50.0;55.0;50.0
38280;Notre-Dame-de-Vaux;G;427;174.0;116.0;55.0;82.0;G;391.0;137.0;128.0;17.0;109.0;23.319571778832326;75.9575878759253;359.5521713533554;82.4902407707193;55.37295223037246;34.647125112549205;23230.0;77275.0;61456.0;67029.0;373.55;317.69;25.0;40.0;30.0
38281;Noyarey;C;1386;367.0;387.0;368.0;264.0;C;1342.0;308.0;539.0;85.0;410.0;1.969110385439965;421.148851357278;1334.0068033210068;565.844345321715;56.75998980119603;41.07831482186028;26880.0;77275.0;61456.0;67029.0;281.38;211.25;105.0;125.0;110.0
